pea,peas,0, 1.33333333333 , 0.0
carrot,carrots,0, 1.16666666667 , 0.0
smooth,mouth,1, 0.833333333333 , 0.166666666667
smooth,mouth,1, 0.833333333333 , 0.166666666667
carrot,carrots,0, 1.16666666667 , 0.0
carrots,carrots>,1, 1.14285714286 , 0.142857142857
carrot,carrots>,1, 1.33333333333 , 0.166666666667
carrot,carrots,0, 1.16666666667 , 0.0
smooth,mouth,1, 0.833333333333 , 0.166666666667
carrot,carrots,0, 1.16666666667 , 0.0
