Food Database Name, Transcript Food Name, edit distance, word relative length, food word relative edit distance
peppers,pepper,0.0,0.857,0.0
eggs,egg,0.0,0.75,0.0
cookies,cookie,0.0,0.857,0.0
cookies,cookie,0.0,0.857,0.0
cookies,cookie,0.0,0.857,0.0
gums,gum,0.0,0.75,0.0
gums,gum,0.0,0.75,0.0
gums,gum,0.0,0.75,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
meatballs,meatball,0.0,0.889,0.0
scup,cup,0.0,0.75,0.0
desserts,dessert,0.0,0.875,0.0
stalks,talk,0.0,0.667,0.0
scup,cup,0.0,0.75,0.0
scup,cup,0.0,0.75,0.0
peanuts,peanut,0.0,0.857,0.0
peanuts,peanut,0.0,0.857,0.0
desserts,dessert,0.0,0.875,0.0
sugars,sugar,0.0,0.833,0.0
sugars,sugar,0.0,0.833,0.0
sugars,sugar,0.0,0.833,0.0
sugars,sugar,0.0,0.833,0.0
sugars,sugar,0.0,0.833,0.0
saltines crackers,<saltine crackers,1.0,1.0,0.059
strawberries,strawberries>,1.0,1.083,0.083
applesauce,applesauce>,1.0,1.1,0.1
fast foods,cat food,1.0,0.8,0.1
fast foods,cat+food,1.0,0.8,0.1
fast foods,cat food,1.0,0.8,0.1
ice creams,ice cream>,1.0,1.0,0.1
fast food,cat food,1.0,0.889,0.111
fast food,cat+food,1.0,0.889,0.111
fast food,cat food,1.0,0.889,0.111
ice cream,ice cream>,1.0,1.111,0.111
meatballs,meatball],1.0,1.0,0.111
toppings,tapping,1.0,0.875,0.125
mother's,mother,1.0,0.75,0.125
broccoli,broccoli],1.0,1.125,0.125
mother's,mother,1.0,0.75,0.125
tomatoes,tomato>,1.0,0.875,0.125
broccoli,broccoli>,1.0,1.125,0.125
broccoli,broccoli>,1.0,1.125,0.125
broccoli,broccoli's,1.0,1.25,0.125
honeydew,honey+dew,1.0,1.125,0.125
honeydew,honey+dew,1.0,1.125,0.125
broccoli,broccoli>,1.0,1.125,0.125
honeydew,honey+dew,1.0,1.125,0.125
toppings,popping,1.0,0.875,0.125
toppings,popping,1.0,0.875,0.125
toppings,hopping,1.0,0.875,0.125
toppings,hopping,1.0,0.875,0.125
toppings,hopping,1.0,0.875,0.125
toppings,hopping,1.0,0.875,0.125
mother's,mother,1.0,0.75,0.125
crackers,crackers>,1.0,1.125,0.125
crackers,crackers>,1.0,1.125,0.125
desserts,dessert>,1.0,1.0,0.125
mother's,mother,1.0,0.75,0.125
mother's,mother,1.0,0.75,0.125
mother's,mother,1.0,0.75,0.125
saltines,<saltine,1.0,1.0,0.125
carrots,carrots>,1.0,1.143,0.143
topping,tapping,1.0,1.0,0.143
muffins,<muffin,1.0,1.0,0.143
oranges,<orange,1.0,1.0,0.143
cockles,cackles,1.0,1.0,0.143
chicken,chicken's,1.0,1.286,0.143
cardoon,cartoons,1.0,1.143,0.143
cardoon,cartoons,1.0,1.143,0.143
cardoon,cartoon,1.0,1.0,0.143
topping,popping,1.0,1.0,0.143
topping,popping,1.0,1.0,0.143
cardoon,cartoon,1.0,1.0,0.143
topping,hopping,1.0,1.0,0.143
topping,hopping,1.0,1.0,0.143
topping,hopping,1.0,1.0,0.143
topping,hopping,1.0,1.0,0.143
candies,candle,1.0,0.857,0.143
dessert,dessert>,1.0,1.143,0.143
candies,candles,1.0,1.0,0.143
candies,candles,1.0,1.0,0.143
candies,candles,1.0,1.0,0.143
candies,candles,1.0,1.0,0.143
sheanut,peanut,1.0,0.857,0.143
sheanut,peanut,1.0,0.857,0.143
smooth peanut butter,*mot: peanut butter,3.0,0.95,0.15
rice crackers,fire crackers,2.0,1.0,0.154
rice crackers,fire crackers,2.0,1.0,0.154
peanut butter,pean(ut) butter,2.0,1.154,0.154
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
carrot,carrots>,1.0,1.333,0.167
smooth,mouth,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
stalks,walk,1.0,0.667,0.167
stalks,walk,1.0,0.667,0.167
breast,bread,1.0,0.833,0.167
grapes,grace,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
stalks,walk,1.0,0.667,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
breast,break,1.0,0.833,0.167
capers,paper,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
shoots,boot,1.0,0.667,0.167
scotch,couch,1.0,0.833,0.167
sweet onions,want onions,2.0,0.917,0.167
muffin,<muffin,1.0,1.167,0.167
orange,<orange,1.0,1.167,0.167
grapes,grape>,1.0,1.0,0.167
capers,paper,1.0,0.833,0.167
capers,paper,1.0,0.833,0.167
stalks,tales,1.0,0.833,0.167
stalks,tales,1.0,0.833,0.167
squash,squish,1.0,1.0,0.167
breast,beat,1.0,0.667,0.167
breast,beat,1.0,0.667,0.167
smooth,mouth,1.0,0.833,0.167
scotch,couch,1.0,0.833,0.167
capers,cape,1.0,0.667,0.167
smooth,mouth,1.0,0.833,0.167
stalks,talk>,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
smooth,month,1.0,0.833,0.167
smooth,months,1.0,1.0,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
spices,pick,1.0,0.667,0.167
toffee,coffee,1.0,1.0,0.167
toffee,coffee,1.0,1.0,0.167
mutton,button,1.0,1.0,0.167
smooth,mouth,1.0,0.833,0.167
ginger,finger,1.0,1.0,0.167
capers,paper,1.0,0.833,0.167
spices,spicy,1.0,0.833,0.167
spices,spicy,1.0,0.833,0.167
spices,spicy,1.0,0.833,0.167
spices,spicy,1.0,0.833,0.167
capers,paper,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
smooth,tooth,1.0,0.833,0.167
capers,paper,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
grapes,grace,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
mutton,buttons,1.0,1.167,0.167
mutton,buttons,1.0,1.167,0.167
smooth,mouth,1.0,0.833,0.167
spices,nice,1.0,0.667,0.167
smooth,month,1.0,0.833,0.167
snacks,back,1.0,0.667,0.167
smooth,month,1.0,0.833,0.167
cloves,closes,1.0,1.0,0.167
rabbit,rabbit's,1.0,1.333,0.167
cloves,love,1.0,0.667,0.167
cloves,love,1.0,0.667,0.167
cloves,love,1.0,0.667,0.167
cloves,love,1.0,0.667,0.167
cloves,love,1.0,0.667,0.167
cloves,love,1.0,0.667,0.167
cloves,love,1.0,0.667,0.167
cloves,love,1.0,0.667,0.167
cloves,love,1.0,0.667,0.167
shoots,foot,1.0,0.667,0.167
smooth,mouth,1.0,0.833,0.167
leaves,sleeves,1.0,1.167,0.167
smooth,mouth,1.0,0.833,0.167
ginger,fingers,1.0,1.167,0.167
shoots,foot,1.0,0.667,0.167
capers,paper,1.0,0.833,0.167
breast,break,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
caesar,clears,1.0,1.0,0.167
onions,onions>,1.0,1.167,0.167
spices,rice,1.0,0.667,0.167
smooth,mouth,1.0,0.833,0.167
spices,rice,1.0,0.667,0.167
spices,rice,1.0,0.667,0.167
spices,rice,1.0,0.667,0.167
spices,rice,1.0,0.667,0.167
ginger,singer,1.0,1.0,0.167
catsup,catsup>,1.0,1.167,0.167
ginger,fingers,1.0,1.167,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
grapes,grapes>,1.0,1.167,0.167
shoots,boots,1.0,0.833,0.167
shoots,boots,1.0,0.833,0.167
shoots,boots,1.0,0.833,0.167
shoots,boots,1.0,0.833,0.167
shoots,boots,1.0,0.833,0.167
shoots,boots,1.0,0.833,0.167
shoots,boots,1.0,0.833,0.167
shoots,boots,1.0,0.833,0.167
shoots,boots,1.0,0.833,0.167
shoots,boots,1.0,0.833,0.167
caesar,clears,1.0,1.0,0.167
caesar,clears,1.0,1.0,0.167
cheese,cheek,1.0,0.833,0.167
mussel,fuel,1.0,0.667,0.167
smooth,mouth,1.0,0.833,0.167
mullet,bullets,1.0,1.167,0.167
mullet,bullet,1.0,1.0,0.167
mullet,bullets,1.0,1.167,0.167
shoots,shoot>,1.0,1.0,0.167
capers,paper,1.0,0.833,0.167
caesar,clears,1.0,1.0,0.167
caesar,clears,1.0,1.0,0.167
caesar,clears,1.0,1.0,0.167
snacks,smack,1.0,0.833,0.167
capers,papers,1.0,1.0,0.167
ginger,fingers,1.0,1.167,0.167
turtle,turtle>,1.0,1.167,0.167
capers,papers,1.0,1.0,0.167
snacks,back,1.0,0.667,0.167
snacks,back,1.0,0.667,0.167
snacks,back,1.0,0.667,0.167
snacks,back,1.0,0.667,0.167
capers,paper,1.0,0.833,0.167
capers,paper,1.0,0.833,0.167
capers,paper,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
puffed,stuffed,1.0,1.167,0.167
breast,break,1.0,0.833,0.167
ginger,finger,1.0,1.0,0.167
cloves,glove,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
chocolate candies,chocolate cake,3.0,0.824,0.176
chocolate candies,chocolate cake,3.0,0.824,0.176
chocolate candies,chocolate cake,3.0,0.824,0.176
whole seeds,whole mess,2.0,0.909,0.182
milk shakes,milk tastes,2.0,1.0,0.182
cheese food,cheese look,2.0,1.0,0.182
fruit salad,<fruit salad>,2.0,1.182,0.182
hot pockets,rosy pocket,2.0,1.0,0.182
sucker fish,sucker fast,2.0,1.0,0.182
whole seeds,whole week,2.0,0.909,0.182
pears,peas,1.0,0.8,0.2
beets,beef,1.0,0.8,0.2
horse,house,1.0,1.0,0.2
perch,porch,1.0,1.0,0.2
salsa,salt,1.0,0.8,0.2
cress,sure,1.0,0.8,0.2
horse,house,1.0,1.0,0.2
round,ground,1.0,1.2,0.2
salsa,class,1.0,1.0,0.2
limes,time,1.0,0.8,0.2
horse,share,1.0,1.0,0.2
shake,share,1.0,1.0,0.2
shark,share,1.0,1.0,0.2
morel,more>,1.0,1.0,0.2
round,sounds,1.0,1.2,0.2
stock,socks,1.0,1.0,0.2
pears,hear,1.0,0.8,0.2
pears,hear,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
mince,mine,1.0,0.8,0.2
smelt,meat,1.0,0.8,0.2
horse,shoes,1.0,1.0,0.2
horse,shoes,1.0,1.0,0.2
horse,shoes,1.0,1.0,0.2
horse,shoes,1.0,1.0,0.2
horse,shoes,1.0,1.0,0.2
shark,park,1.0,0.8,0.2
peach,beach,1.0,1.0,0.2
peach,beach,1.0,1.0,0.2
peach,beach,1.0,1.0,0.2
peach,beach,1.0,1.0,0.2
peach,beach,1.0,1.0,0.2
peach,beach,1.0,1.0,0.2
bread,break,1.0,1.0,0.2
stock,rock,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
crude,rude,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
dates,tastes,1.0,1.2,0.2
dates,tastes,1.0,1.2,0.2
dates,taste,1.0,1.0,0.2
conch,couch,1.0,1.0,0.2
limes,time,1.0,0.8,0.2
applebee's,apple seed,2.0,1.0,0.2
applebee's,apple seed,2.0,1.0,0.2
cream,dream,1.0,1.0,0.2
smelt,belt,1.0,0.8,0.2
spelt,belt,1.0,0.8,0.2
beets,belt,1.0,0.8,0.2
sheep,help,1.0,0.8,0.2
horse,store,1.0,1.0,0.2
mince,mine,1.0,0.8,0.2
horse,store,1.0,1.0,0.2
stock,rock,1.0,0.8,0.2
stock,rock,1.0,0.8,0.2
stock,rock,1.0,0.8,0.2
stock,rock,1.0,0.8,0.2
american cheese,american hero,3.0,0.867,0.2
pears,years,1.0,1.0,0.2
pears,years,1.0,1.0,0.2
smelt,meet,1.0,0.8,0.2
beets,meet,1.0,0.8,0.2
mince,mine,1.0,0.8,0.2
green,green>,1.0,1.2,0.2
limes,time,1.0,0.8,0.2
dates,tastes,1.0,1.2,0.2
shark,dark,1.0,0.8,0.2
table,tales,1.0,1.0,0.2
table,tales,1.0,1.0,0.2
squid,squish,1.0,1.2,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
horse,house,1.0,1.0,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
leeks,weeks,1.0,1.0,0.2
leeks,weeks,1.0,1.0,0.2
morel,more>,1.0,1.0,0.2
beans,beat,1.0,0.8,0.2
beets,beat,1.0,0.8,0.2
beans,beat,1.0,0.8,0.2
beets,beat,1.0,0.8,0.2
conch,couch,1.0,1.0,0.2
limes,times,1.0,1.0,0.2
juice,juicy,1.0,1.0,0.2
horse,house,1.0,1.0,0.2
cress,sure,1.0,0.8,0.2
horse,store,1.0,1.0,0.2
horse,store,1.0,1.0,0.2
salsa,salad,1.0,1.0,0.2
horse,store,1.0,1.0,0.2
honey,money,1.0,1.0,0.2
snail,mail,1.0,0.8,0.2
basil,mail,1.0,0.8,0.2
honey,money,1.0,1.0,0.2
straw,tray,1.0,0.8,0.2
cress,sure,1.0,0.8,0.2
goose,good,1.0,0.8,0.2
pears,peas,1.0,0.8,0.2
limes,times,1.0,1.0,0.2
dates,taste,1.0,1.0,0.2
dates,taste,1.0,1.0,0.2
limes,line,1.0,0.8,0.2
shake,cake,1.0,0.8,0.2
shake,cake,1.0,0.8,0.2
shake,cake,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
morel,more>,1.0,1.0,0.2
baked,basket,1.0,1.2,0.2
leeks,week,1.0,0.8,0.2
round,ground,1.0,1.2,0.2
limes,time,1.0,0.8,0.2
beans,<sean,1.0,1.0,0.2
mousse desserts,*mot: dessert,3.0,0.867,0.2
mince,mine,1.0,0.8,0.2
horse,house,1.0,1.0,0.2
juice,juice>,1.0,1.2,0.2
horse,home,1.0,0.8,0.2
shark,park,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
goose,good,1.0,0.8,0.2
salsa,glass,1.0,1.0,0.2
horse,store,1.0,1.0,0.2
tomatoseed,tomatoes,2.0,0.8,0.2
tomatoseed,tomatoes,2.0,0.8,0.2
salsa,salad,1.0,1.0,0.2
salsa,salad,1.0,1.0,0.2
salsa,salad,1.0,1.0,0.2
beets,sweet,1.0,1.0,0.2
salsa,salad,1.0,1.0,0.2
mince,mine,1.0,0.8,0.2
morel,more>,1.0,1.0,0.2
morel,more>,1.0,1.0,0.2
pears,year,1.0,0.8,0.2
whole veal,whole year,2.0,1.0,0.2
pears,year,1.0,0.8,0.2
whole veal,whole year,2.0,1.0,0.2
spears broccoli,<eat broccoli>,3.0,0.933,0.2
goose,good,1.0,0.8,0.2
salsa,salad,1.0,1.0,0.2
sweet corn,want corn,2.0,0.9,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
pears,year,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
ice cream cones,ice cream now>,3.0,0.933,0.2
salsa,salt,1.0,0.8,0.2
salsa,salt,1.0,0.8,0.2
salsa,salad,1.0,1.0,0.2
salsa,salad,1.0,1.0,0.2
sheep,help,1.0,0.8,0.2
seeds,see>,1.0,0.8,0.2
table,table>,1.0,1.2,0.2
table salt,table talk,2.0,1.0,0.2
cress,dress,1.0,1.0,0.2
leeks,week,1.0,0.8,0.2
mince,mine,1.0,0.8,0.2
horse,store,1.0,1.0,0.2
leeks,week,1.0,0.8,0.2
salsa,salad,1.0,1.0,0.2
sliced ham,spice ham,2.0,0.9,0.2
horse,home,1.0,0.8,0.2
horse,home,1.0,0.8,0.2
pears,years,1.0,1.0,0.2
horse,house,1.0,1.0,0.2
leeks,week,1.0,0.8,0.2
pears,year,1.0,0.8,0.2
pears,year,1.0,0.8,0.2
limes,life,1.0,0.8,0.2
leeks,week,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
round,pounds,1.0,1.2,0.2
limes,time,1.0,0.8,0.2
seeds,feed,1.0,0.8,0.2
beans,bran,1.0,0.8,0.2
honey,honey>,1.0,1.2,0.2
braised chicken,fried chicken,3.0,0.867,0.2
grilled chicken,fried chicken,3.0,0.867,0.2
limes,time,1.0,0.8,0.2
limes,slide,1.0,1.0,0.2
limes,slide,1.0,1.0,0.2
limes,slide,1.0,1.0,0.2
whale,while,1.0,1.0,0.2
green,screen,1.0,1.2,0.2
cress,case,1.0,0.8,0.2
round,sounds,1.0,1.2,0.2
round,sounds,1.0,1.2,0.2
limes,time,1.0,0.8,0.2
pears,years,1.0,1.0,0.2
rolls,doll,1.0,0.8,0.2
rolls,doll,1.0,0.8,0.2
limes,time,1.0,0.8,0.2
horse,house,1.0,1.0,0.2
dates,state,1.0,1.0,0.2
